name,handedness,height,weight,avg,HR,height_c,weight_c,BMI
Rich Rollins,R,70,185,0.269,77,178,84,27
Walt Bond,L,79,228,0.256,41,201,103,26
Merv Rettenmund,R,70,190,0.271,66,178,86,27
Bryan Clutterbuck,R,76,223,0,0,193,101,27
Byron Browne,R,74,190,0.236,30,188,86,24
Hector Torres,R,72,175,0.216,18,183,79,24
Walt Williams,R,66,165,0.27,33,168,75,27
Jerry Koosman,R,74,205,0.119,2,188,93,26
Steve Lombardozzi,R,72,175,0.233,20,183,79,24
Joe Azcue,R,72,190,0.252,50,183,86,26
Elliott Maddox,R,71,180,0.261,18,180,82,25
Omar Moreno,L,74,180,0.252,37,188,82,23
Julian Javier,R,73,175,0.257,78,185,79,23
Tony Ferreira,L,73,160,0,0,185,72,21
Elio Chacon,R,69,160,0.232,4,175,72,24
Rusty Torres,B,70,175,0.212,35,178,79,25
John Stearns,R,72,185,0.26,46,183,84,25
Larry Brown,R,70,160,0.233,47,178,72,23
Tommy Dean,R,72,165,0.18,4,183,75,22
Bryan Oelkers,L,75,192,0,0,191,87,24
Kevin Bearse,L,74,195,0,0,188,88,25
Marty Martinez,B,72,170,0.243,0,183,77,23
Bruce Boisclair,L,74,185,0.263,10,188,84,24
Ken Singleton,B,76,210,0.282,246,193,95,26
Frank White,R,71,165,0.255,160,180,75,23
Jim Fairey,L,70,190,0.235,7,178,86,27
Jose Roman,R,72,175,0,0,183,79,24
Tom Brookens,R,70,165,0.246,71,178,75,24
Gary Thomasson,L,73,180,0.249,61,185,82,24
Mike Trujillo,R,73,180,0,0,185,82,24
Albert Williams,R,76,190,0,0,193,86,23
Oswaldo Peraza,R,76,172,0,0,193,78,21
Otto Velez,R,72,170,0.251,78,183,77,23
Tony Scott,B,72,164,0.249,17,183,74,22
Ray Oyler,R,71,165,0.175,15,180,75,23
Barry Cort,R,77,210,0,0,196,95,25
Floyd Robinson,L,69,175,0.283,67,175,79,26
Steve Jeltz,B,71,180,0.21,5,180,82,25
Lou Brock,L,71,170,0.293,149,180,77,24
Bill Wilkinson,R,70,160,0,0,178,72,23
Joe Lovitto,B,72,185,0.216,4,183,84,25
Mike Loynd,R,76,210,0,0,193,95,26
Wayne Comer,R,70,175,0.229,16,178,79,25
Dave Collins,B,71,175,0.272,32,180,79,24
Ed Spiezio,R,71,180,0.238,39,180,82,25
Rico Petrocelli,R,72,175,0.251,210,183,79,24
Johnny Lewis,L,73,189,0.227,22,185,86,25
Dick Simpson,R,76,176,0.207,15,193,80,21
Ken Boswell,L,72,170,0.248,31,183,77,23
Ken McMullen,R,75,190,0.248,156,191,86,24
Randy Scarbery,B,73,185,0,0,185,84,24
Steve Swisher,R,74,205,0.216,20,188,93,26
Ben Callahan,R,79,230,0,0,201,104,26
Dick Howser,R,68,155,0.248,16,173,70,24
Manny Castillo,B,69,160,0.242,3,175,72,24
Mike Ramsey,B,73,170,0.24,2,185,77,22
Willie Crawford,L,73,197,0.268,86,185,89,26
Bobby Cuellar,R,71,188,0,0,180,85,26
Willie Norwood,R,72,185,0.242,18,183,84,25
Mike Jones,L,78,215,0,0,198,97,25
Jeff Stone,L,72,175,0.277,11,183,79,24
Ramon Manon,R,72,150,0,0,183,68,20
Joe Lahoud,L,73,198,0.223,65,185,90,26
Tim Flannery,L,71,175,0.255,9,180,79,24
Dave McKay,B,73,195,0.229,21,185,88,26
John Trautwein,R,75,205,0,0,191,93,26
Andy Replogle,R,77,205,0,0,196,93,24
Zach Crouch,L,75,180,0,0,191,82,22
Benny Ayala,R,73,185,0.251,38,185,84,24
Ron Romanick,R,76,195,0,0,193,88,24
Greg Gross,L,70,160,0.287,7,178,72,23
Bruce Tanner,L,75,220,0,0,191,100,27
Sal Butera,R,72,190,0.227,8,183,86,26
Jack Brohamer,L,70,165,0.245,30,178,75,24
Von Joshua,L,70,170,0.273,30,178,77,24
Eddie Milner,L,71,173,0.253,42,180,78,24
Johnny Jeter,R,73,180,0.244,18,185,82,24
Angel Salazar,R,72,180,0.212,2,183,82,24
Tony Oliva,L,73,175,0.304,220,185,79,23
Cito Gaston,R,75,190,0.256,91,191,86,24
Cookie Rojas,R,70,160,0.263,54,178,72,23
Rich Morales,R,71,170,0.195,6,180,77,24
Dave Ford,R,76,190,0,0,193,86,23
Dan Ford,R,73,185,0.27,121,185,84,24
Barry Raziano,B,70,175,0,0,178,79,25
Darryl Motley,R,69,196,0.243,44,175,89,29
Ozzie Virgil,R,73,180,0.243,98,185,82,24
Johnny Oates,L,71,188,0.25,14,180,85,26
Pat Underwood,L,72,175,0,0,183,79,24
Mike Phillips,L,72,170,0.24,11,183,77,23
Ron Santo,R,72,190,0.277,342,183,86,26
Jay Johnstone,L,73,175,0.267,102,185,79,23
Jim Ray Hart,R,71,185,0.278,170,180,84,26
Marc Hill,R,75,205,0.223,34,191,93,26
Joel McKeon,L,72,185,0,0,183,84,25
Danny Fife,R,75,175,0,0,191,79,22
Chico Salmon,R,70,160,0.249,31,178,72,23
Joe Niekro,R,73,185,0.156,1,185,84,24
Andy Etchebarren,R,73,190,0.235,49,185,86,25
Ken Berry,R,72,175,0.255,58,183,79,24
Dave Concepcion,R,74,155,0.267,101,188,70,20
Junior Moore,R,71,185,0.264,7,180,84,26
Mike Richardt,R,72,170,0.226,4,183,77,23
Chris Brown,R,72,185,0.269,38,183,84,25
Al Bumbry,L,68,170,0.281,54,173,77,26
Al Downing,R,71,175,0.127,2,180,79,24
Bob Didier,B,72,190,0.229,0,183,86,26
Jake Gibbs,L,72,180,0.233,25,183,82,24
Garry Hancock,L,72,175,0.247,12,183,79,24
Ed Kranepool,L,75,205,0.261,118,191,93,26
Rick Rhoden,R,75,195,0.238,9,191,88,24
Denny McLain,R,73,185,0.133,1,185,84,24
Chuck Hiller,L,71,170,0.243,20,180,77,24
Jorge Orta,L,70,170,0.278,130,178,77,24
Dave Cash,R,71,170,0.283,21,180,77,24
Bucky Dent,R,69,170,0.247,40,175,77,25
Andy Beene,R,75,205,0,0,191,93,26
Bruce Robbins,L,73,190,0,0,185,86,25
Tony Gonzalez,L,69,170,0.286,103,175,77,25
Leon Hooten,R,71,180,0,0,180,82,25
Larry Haney,R,74,195,0.215,12,188,88,25
Billy Conigliaro,R,72,180,0.256,40,183,82,24
Gary Roenicke,R,75,205,0.247,121,191,93,26
Don Lock,R,74,195,0.238,122,188,88,25
Billy Cowan,R,72,170,0.236,40,183,77,23
Billy Smith,B,74,185,0.23,17,188,84,24
Allan Ramirez,R,70,180,0,0,178,82,26
Tony Perez,R,74,175,0.279,379,188,79,22
Chuck Schilling,R,70,160,0.239,23,178,72,23
Hal McRae,R,71,180,0.29,191,180,82,25
Dave Roberts,R,75,215,0.239,49,191,97,27
Brian Allard,R,73,175,0,0,185,79,23
Jim Lefebvre,B,72,180,0.251,74,183,82,24
Fernando Arroyo,R,74,180,0,0,188,82,23
Gary Beare,R,76,205,0,0,193,93,25
Charlie Spikes,R,75,215,0.246,65,191,97,27
Brian Dubois,L,70,165,0,0,178,75,24
Steve Whitaker,L,72,180,0.23,24,183,82,24
Manny Jimenez,L,73,185,0.272,26,185,84,24
Chris Batton,R,76,195,0,0,193,88,24
Duffy Dyer,R,72,187,0.221,30,183,85,25
Ken Henderson,B,74,180,0.257,122,188,82,23
Vance Lovelace,L,77,205,0,0,196,93,24
Greg Thayer,R,71,182,0,0,180,82,25
Vern Fuller,R,73,170,0.232,14,185,77,22
Paul Hartzell,R,77,200,0,0,196,91,24
Wayne Gross,L,74,210,0.233,121,188,95,27
Mike Champion,R,72,185,0.229,2,183,84,25
Ralph Botting,L,72,195,0,0,183,88,26
Paul Casanova,R,76,180,0.225,50,193,82,22
Steve Rogers,R,74,175,0.138,0,188,79,22
Keith Creel,R,74,180,0,0,188,82,23
Terry Crowley,L,72,180,0.25,42,183,82,24
Horace Clarke,B,69,170,0.256,27,175,77,25
Lou Clinton,R,73,185,0.247,65,185,84,24
Larry Cox,R,70,178,0.221,12,178,81,26
Nate Colbert,R,74,190,0.243,173,188,86,24
Phil Roof,R,74,190,0.215,43,188,86,24
Chuck Hinton,R,73,180,0.264,113,185,82,24
Tim Cullen,R,73,185,0.22,9,185,84,24
Tim Harkness,L,74,182,0.235,14,188,82,23
Rick Bosetti,R,71,185,0.25,17,180,84,26
Ron Pruitt,R,72,185,0.269,12,183,84,25
George Foster,R,73,180,0.274,348,185,82,24
Jerry White,B,70,164,0.253,21,178,74,24
Angel Mangual,R,70,178,0.245,22,178,81,26
Ken Gerhart,R,72,190,0.221,24,183,86,26
Mike Hershberger,R,70,175,0.252,26,178,79,25
Jim French,L,68,180,0.196,5,173,82,27
Dave Roberts,L,75,195,0.194,7,191,88,24
Jim Mason,L,74,185,0.203,12,188,84,24
Mike Smith,R,75,180,0,0,191,82,22
Willie Smith,L,72,182,0.248,46,183,82,25
T.R. Bryden,R,76,190,0,0,193,86,23
Jose Arcia,R,75,170,0.215,1,191,77,21
Leon Durham,L,73,185,0.277,147,185,84,24
Tom Makowski,R,71,185,0,0,180,84,26
Paul Householder,B,72,180,0.236,29,183,82,24
Aurelio Rodriguez,R,70,180,0.237,124,178,82,26
Jimmy Stewart,B,72,165,0.237,8,183,75,22
Dick Phillips,L,72,180,0.229,12,183,82,24
Andres Thomas,R,73,170,0.234,42,185,77,22
Ed Crosby,L,74,175,0.22,0,188,79,22
Mike de la Hoz,R,71,175,0.251,25,180,79,24
Frank Taveras,R,72,155,0.255,2,183,70,21
Joe Nossek,R,72,178,0.228,3,183,81,24
Larry Stahl,L,72,175,0.232,36,183,79,24
Jose Cruz,L,72,170,0.284,165,183,77,23
Don Mason,L,71,160,0.205,3,180,72,22
Bill Robinson,R,74,189,0.258,166,188,86,24
Jim Umbarger,L,78,200,0,0,198,91,23
Sal Bando,R,72,195,0.254,242,183,88,26
George Mitterwald,R,74,195,0.236,76,188,88,25
Mike Darr,R,76,190,0,0,193,86,23
Craig Robinson,R,70,165,0.219,0,178,75,24
Bob Tillman,R,76,205,0.232,79,193,93,25
Curt Wardle,L,77,220,0,0,196,100,26
Pat Corrales,R,72,180,0.216,4,183,82,24
Mike Tyson,R,69,170,0.241,27,175,77,25
Rafael Landestoy,B,70,165,0.237,4,178,75,24
Duane Josephson,R,72,190,0.258,23,183,86,26
Duane Walker,L,72,185,0.229,24,183,84,25
Glenn Hubbard,R,69,150,0.244,70,175,68,22
Roger Freed,R,72,190,0.245,22,183,86,26
George Hendrick,R,75,195,0.278,267,191,88,24
Rod Carew,L,72,170,0.328,92,183,77,23
Bob Davis,R,72,180,0.197,6,183,82,24
Toby Harrah,R,72,175,0.264,195,183,79,24
Rick Manning,L,73,180,0.257,56,185,82,24
Israel Sanchez,L,69,170,0,0,175,77,25
Steve Burke,B,74,200,0,0,188,91,26
Gary Matthews,R,74,185,0.281,234,188,84,24
Cesar Geronimo,L,72,165,0.258,51,183,75,22
Billy Bryan,L,76,200,0.216,41,193,91,24
Terry Taylor,R,73,180,0,0,185,82,24
Terry Whitfield,L,73,197,0.281,33,185,89,26
Mario Mendoza,R,71,170,0.215,4,180,77,24
Fred Lynn,L,73,185,0.283,306,185,84,24
Larry Hisle,R,74,193,0.273,166,188,87,25
Graig Nettles,L,72,180,0.248,390,183,82,24
Randy Nosek,R,76,215,0,0,193,97,26
Dave Engle,R,75,210,0.262,31,191,95,26
Narciso Elvira,L,70,160,0,0,178,72,23
Mike Easler,L,72,190,0.293,118,183,86,26
Mark Smith,R,74,215,0,0,188,97,28
Paul Mitchell,R,73,195,0,0,185,88,26
Rick Sweet,B,73,200,0.234,6,185,91,26
Thurman Munson,R,71,190,0.292,113,180,86,26
Rick Monday,L,75,193,0.264,241,191,87,24
Mike Sadek,R,69,165,0.226,5,175,75,24
Mark Belanger,R,73,170,0.228,20,185,77,22
Ron Hunt,R,72,186,0.273,39,183,84,25
Joe Keough,L,72,185,0.246,9,183,84,25
Butch Edge,R,75,203,0,0,191,92,25
Vic Correll,R,70,185,0.229,29,178,84,27
Jackie Hernandez,R,71,165,0.208,12,180,75,23
Tony Solaita,L,72,210,0.255,50,183,95,28
U L Washington,B,71,175,0.251,27,180,79,24
Gary Mielke,R,75,185,0,0,191,84,23
Rick Henninger,R,78,225,0,0,198,102,26
Joe Foy,R,72,215,0.248,58,183,97,29
Ed Goodson,L,75,180,0.26,30,191,82,22
Mark Brown,B,74,190,0,0,188,86,24
Mickey Klutts,R,71,170,0.241,14,180,77,24
Leroy Stanton,R,73,195,0.244,77,185,88,26
Rafael Vasquez,R,72,160,0,0,183,72,22
Len Whitehouse,L,71,175,0,0,180,79,24
Danny Ainge,R,76,175,0.22,2,193,79,21
Adolfo Phillips,R,73,175,0.247,59,185,79,23
Marv Breeding,R,72,175,0.25,7,183,79,24
Steve Adkins,R,78,210,0,0,198,95,24
Dick McAuliffe,L,71,176,0.247,197,180,80,25
Joe Horlen,R,72,170,0.134,0,183,77,23
Glenn Burke,R,72,195,0.237,2,183,88,26
Tony Mack,R,70,177,0,0,178,80,25
Terry Humphrey,R,75,185,0.211,6,191,84,23
Bill Moran,R,76,210,0,0,193,95,26
Enzo Hernandez,R,68,155,0.224,2,173,70,24
Cesar Gutierrez,R,69,155,0.235,0,175,70,23
Coco Laboy,R,70,165,0.233,28,178,75,24
Ted Kubiak,B,72,175,0.231,13,183,79,24
Jim Morrison,R,71,175,0.26,112,180,79,24
Tom Gilles,R,73,185,0,0,185,84,24
Bobby Knoop,R,73,170,0.236,56,185,77,22
Bobby Brown,B,74,190,0.245,26,188,86,24
Tom Hutton,L,71,180,0.248,22,180,82,25
Ron Hodges,L,73,185,0.24,19,185,84,24
Rich Chiles,L,71,170,0.254,6,180,77,24
Tom Paciorek,R,76,215,0.282,86,193,97,26
Gary Woods,R,74,185,0.243,13,188,84,24
Bob Montgomery,R,73,195,0.258,23,185,88,26
Jeff Burroughs,R,73,200,0.261,240,185,91,26
Rusty Staub,L,74,190,0.279,292,188,86,24
Jim Norris,L,70,175,0.264,7,178,79,25
Oscar Gamble,L,71,160,0.265,200,180,72,22
Bob Kammeyer,R,76,210,0,0,193,95,26
George Vukovich,L,72,198,0.268,27,183,90,27
Joe Pactwa,L,71,185,0,0,180,84,26
Craig Reynolds,L,73,175,0.256,42,185,79,23
Paul Blair,R,72,168,0.25,134,183,76,23
Al Cowens,R,73,197,0.27,108,185,89,26
Al Oliver,L,72,195,0.303,219,183,88,26
Dave Hilton,R,71,191,0.213,6,180,87,27
Luis Alvarado,R,69,162,0.214,5,175,73,24
Larry Parrish,R,75,190,0.263,256,191,86,24
Woodie Fryman,R,75,197,0.138,2,191,89,25
Bob Randall,R,74,175,0.257,1,188,79,22
Jim Pankovits,R,70,170,0.25,9,178,77,24
Sherman Corbett,L,76,205,0,0,193,93,25
Carmen Fanzone,R,72,200,0.224,20,183,91,27
Gary Allenson,R,71,185,0.221,19,180,84,26
Milt May,L,72,190,0.263,77,183,86,26
Mike Vail,R,73,180,0.279,34,185,82,24
Nick Esasky,R,75,200,0.25,122,191,91,25
Jim Nettles,L,72,186,0.22,16,183,84,25
Lafayette Currence,B,71,175,0,0,180,79,24
Chris Cannizzaro,R,72,190,0.235,18,183,86,26
Larry Biittner,L,74,205,0.273,29,188,93,26
John Pawlowski,R,74,175,0,0,188,79,22
Mel Stottlemyre,R,73,178,0.16,7,185,81,23
Jack Hardy,R,74,175,0,0,188,79,22
Ron Musselman,R,74,185,0,0,188,84,24
Roy Smalley,B,73,185,0.257,163,185,84,24
Tony Chevez,R,71,177,0,0,180,80,25
Andy Messersmith,R,73,200,0.17,5,185,91,26
Richie Zisk,R,73,200,0.287,207,185,91,26
Dave Chalk,R,70,175,0.252,15,178,79,25
Don Baylor,R,73,190,0.26,338,185,86,25
John Vukovich,R,73,187,0.161,6,185,85,25
Danny Thompson,R,72,183,0.248,15,183,83,25
Joe Simpson,L,75,175,0.242,9,191,79,22
Bill Fahey,L,72,200,0.241,7,183,91,27
Doug Camilli,R,71,195,0.199,18,180,88,27
Bernie Allen,L,72,175,0.239,73,183,79,24
Bruce Bochy,R,75,205,0.239,26,191,93,26
Gary Ignasiak,R,71,185,0,0,180,84,26
Claudell Washington,L,72,190,0.278,164,183,86,26
John Donaldson,L,71,160,0.238,4,180,72,22
Mike Smithson,L,80,215,0,0,203,97,24
John Mayberry,L,75,215,0.253,255,191,97,27
Ken Reitz,R,72,180,0.26,68,183,82,24
Amos Otis,R,71,165,0.277,193,180,75,23
Gene Alley,R,70,160,0.254,55,178,72,23
Ted Sizemore,R,70,165,0.262,23,178,75,24
Dan Briggs,L,72,180,0.195,12,183,82,24
Joe Skalski,R,75,190,0,0,191,86,24
Doug Flynn,R,71,165,0.238,7,180,75,23
Bert Bradley,B,73,190,0,0,185,86,25
Ken Holtzman,R,74,175,0.163,2,188,79,22
Pete Ward,L,73,185,0.254,98,185,84,24
Kevin Bell,R,72,195,0.222,13,183,88,26
Tom Nieto,R,73,193,0.205,5,185,87,25
Duke Sims,L,74,197,0.239,100,188,89,25
Larvell Blanks,R,68,167,0.253,20,173,76,25
Francisco Barrios,R,71,155,0,0,180,70,22
Mike Davis,L,74,175,0.259,91,188,79,22
Jerry Reuss,L,77,200,0.167,1,196,91,24
Steve Yeager,R,72,190,0.228,102,183,86,26
Danny Goodwin,L,73,195,0.236,13,185,88,26
Bud Harrelson,B,71,160,0.236,7,180,72,22
Bob Knepper,L,75,195,0.137,6,191,88,24
Mickey Rivers,L,70,165,0.295,61,178,75,24
Jim Northrup,L,75,190,0.267,153,191,86,24
John Hale,L,74,195,0.201,14,188,88,25
Reggie Ritter,L,74,195,0,0,188,88,25
Pedro Garcia,R,70,175,0.22,37,178,79,25
Carl Yastrzemski,L,71,175,0.285,452,180,79,24
Bob Babcock,R,77,210,0,0,196,95,25
Craig Eaton,R,71,175,0,0,180,79,24
Derrel Thomas,B,72,160,0.249,43,183,72,22
Art Howe,R,74,190,0.26,43,188,86,24
Ike Brown,R,72,190,0.256,20,183,86,26
Howie Goss,R,76,204,0.216,11,193,92,25
Glenn Borgmann,R,76,210,0.229,16,193,95,26
Lamar Johnson,R,74,215,0.287,64,188,97,28
Julio Gonzalez,R,71,162,0.235,4,180,73,23
Bobby Klaus,R,70,170,0.208,6,178,77,24
Manny Sanguillen,R,72,193,0.296,65,183,87,26
Gates Brown,L,71,220,0.257,84,180,100,31
Johnny Ray,B,71,170,0.29,53,180,77,24
Jesus Alou,R,74,190,0.28,32,188,86,24
Ken Landreaux,L,70,165,0.268,91,178,75,24
Enos Cabell,R,76,170,0.277,60,193,77,21
Roy Branch,R,72,175,0,0,183,79,24
Billy North,B,71,185,0.261,20,180,84,26
Juan Beniquez,R,71,150,0.274,79,180,68,21
Frank Fernandez,R,72,185,0.199,39,183,84,25
Bombo Rivera,R,70,187,0.265,10,178,85,27
Steve Brye,R,72,190,0.258,30,183,86,26
Ron Jackson,R,72,200,0.259,56,183,91,27
Roger Metzger,B,72,165,0.231,5,183,75,22
Rufino Linares,R,72,170,0.27,11,183,77,23
Ray Webster,L,72,185,0.244,17,183,84,25
Bob Kearney,R,72,190,0.233,27,183,86,26
Fergie Jenkins,R,77,205,0.165,13,196,93,24
Dick Dietz,R,73,195,0.261,66,185,88,26
Ted Cox,R,75,195,0.245,10,191,88,24
Bobby Mitchell,L,70,170,0.243,3,178,77,24
Bobby Mitchell,R,75,185,0.235,21,191,84,23
Barry Evans,R,73,180,0.251,2,185,82,24
Mickey Brantley,R,70,180,0.259,32,178,82,26
Al Gallagher,R,72,180,0.263,11,183,82,24
Rob Woodward,R,75,185,0,0,191,84,23
Hector Cruz,R,71,170,0.225,39,180,77,24
Fred Norman,B,68,155,0.125,0,173,70,24
Woody Woodward,R,74,180,0.236,1,188,82,23
Ted Martinez,R,72,165,0.24,7,183,75,22
Jim Anderson,R,72,170,0.218,13,183,77,23
Lenn Sakata,R,69,160,0.23,25,175,72,24
Dave Duncan,R,74,190,0.214,109,188,86,24
Randy Jones,R,72,178,0.132,0,183,81,24
Dick Billings,R,73,195,0.227,16,185,88,26
Bob Veselic,R,72,175,0,0,183,79,24
Bruce Bochte,L,75,195,0.282,100,191,88,24
Bernie Carbo,L,71,173,0.264,96,180,78,24
Vic Davalillo,L,67,150,0.279,36,170,68,23
Burt Hooton,R,73,210,0.123,4,185,95,28
Chuck Hockenbery,B,73,195,0,0,185,88,26
Bob Ferris,R,78,225,0,0,198,102,26
Fernando Gonzalez,R,70,165,0.235,17,178,75,24
Jim Sundberg,R,72,190,0.248,95,183,86,26
Andy Kosco,R,75,205,0.236,73,191,93,26
Steve Huntz,B,73,204,0.206,16,185,92,27
Gary Wheelock,R,75,205,0,0,191,93,26
Lenny Faedo,R,72,170,0.251,5,183,77,23
John Lowenstein,L,72,175,0.253,116,183,79,24
Don Kessinger,B,73,170,0.252,14,185,77,22
Joe Hague,L,72,195,0.239,40,183,88,26
Bake McBride,L,74,190,0.299,63,188,86,24
Dick Davis,R,75,190,0.265,27,191,86,24
Richie Scheinblum,B,73,180,0.263,13,185,82,24
Ed Herrmann,L,73,195,0.24,80,185,88,26
Mike Rochford,L,76,205,0,0,193,93,25
Jeff Schneider,B,75,195,0,0,191,88,24
Bob Molinaro,L,72,190,0.264,14,183,86,26
Mike Hegan,L,73,188,0.242,53,185,85,25
Mike Diaz,R,74,195,0.247,31,188,88,25
Tim Foli,R,72,179,0.251,25,183,81,24
Alan Knicely,R,72,190,0.213,12,183,86,26
Tim Laudner,R,75,212,0.225,77,191,96,26
Jose Morales,R,71,187,0.287,26,180,85,26
Luis Encarnacion,R,70,178,0,0,178,81,26
Rick Kreuger,R,74,185,0,0,188,84,24
Juan Marichal,R,72,185,0.165,4,183,84,25
Vida Blue,B,72,189,0.104,4,183,86,26
Angel Moreno,L,69,165,0,0,175,75,24
Roger Weaver,R,75,190,0,0,191,86,24
Stan Papi,R,72,170,0.218,7,183,77,23
Rob Wilfong,L,73,180,0.248,39,185,82,24
Chris Knapp,R,77,195,0,0,196,88,23
Steve Henderson,R,74,190,0.28,68,188,86,24
Rob Picciolo,R,74,185,0.234,17,188,84,24
Don Welchel,R,76,205,0,0,193,93,25
Randy Wiles,L,73,185,0,0,185,84,24
Roberto Pena,R,68,170,0.245,13,173,77,26
Bob Dernier,R,72,160,0.255,23,183,72,22
Bill Melton,R,74,200,0.253,160,188,91,26
Albert Hall,B,71,155,0.251,5,180,70,22
Barbaro Garbey,R,70,170,0.267,11,178,77,24
John Milner,L,72,185,0.249,131,183,84,25
Rich Reese,L,75,185,0.253,52,191,84,23
Chris Bando,B,72,195,0.227,27,183,88,26
Bill Buckner,L,72,185,0.289,174,183,84,25
Jack Hiatt,R,74,190,0.251,22,188,86,24
Nelson Mathews,R,76,195,0.223,22,193,88,24
Larry Lintz,B,69,150,0.227,0,175,68,22
Ron Theobald,R,68,165,0.248,2,173,75,25
Dewey Robinson,R,72,180,0,0,183,82,24
Rafael Santana,R,73,165,0.246,13,185,75,22
Jerry Hairston,B,70,170,0.258,30,178,77,24
Tony Arnold,R,71,170,0,0,180,77,24
Jeff Schattinger,L,77,200,0,0,196,91,24
Ike Brookens,R,77,170,0,0,196,77,20
Tommie Aaron,R,75,190,0.229,13,191,86,24
Steve Dillard,R,73,180,0.243,13,185,82,24
Win Remmerswaal,R,74,160,0,0,188,72,21
Jeff Peterek,R,74,195,0,0,188,88,25
George Scott,R,74,200,0.268,271,188,91,26
Jeff Shaver,R,75,195,0,0,191,88,24
Ken Walters,R,73,180,0.231,11,185,82,24
Gorman Thomas,R,74,210,0.225,268,188,95,27
Paul Dade,R,73,185,0.27,10,185,84,24
Darrell Porter,L,72,193,0.247,188,183,87,26
Tim Johnson,L,73,170,0.223,0,185,77,22
Fred Stanley,R,70,165,0.216,10,178,75,24
